codi_barri,pes_atur,mean_household_income,mean_person_income,incoming_rate_1000hab,outcoming_rate_1000hab,poblacio,densitat_neta,norm_centre_civic_count,norm_police_office_count,norm_pharmacy,norm_accident_count,norm_animal_per_population,norm_hotel_count,norm_hospitals_and_clinics,norm_total_cars,norm_tourist_accomodation_count,norm_pension_count,norm_caps,norm_trees_count,mean_household_income_categorical,nom_barri,by_sea
13,9.508333333333333,34052.58823529412,13640.35294117647,53.7,52.2,30385,773.9,6.582195162086556e-05,0.0,0.0005265756129669244,0.004410070758597992,0.049953861540416734,0.0,9.873292743129833e-05,0.02745162570540805,0.0,0.0,6.582195162086556e-05,0.053941089353299325,Low,la Marina de Port,False
14,9.308333333333334,37951.28571428572,16343.42857142857,84.2,64.7,10302,903.0,9.706853038245001e-05,0.0,0.00038827412152980003,0.006018248883711901,0.04995386154041674,0.00019413706076490002,0.0,0.06822530992595058,0.0,0.0,0.0,0.037565521258008154,Medium,la Font de la Guatlla,False
15,7.091666666666666,36569.3,15722.6,77.4,80.9,15889,709.6,6.293662282081944e-05,0.0,0.0005664296053873749,0.007174775001573415,0.04995386154041674,0.00044055635974573606,0.0,0.041915790798665746,6.293662282081944e-05,0.00025174649128327774,0.0,0.002139845175907861,Medium,Hostafrancs,False
16,7.308333333333334,37854.07692307692,16016.53846153846,56.1,50.3,18512,896.6,0.0,0.0,0.0007022471910112359,0.005509939498703544,0.049953861540416734,0.0,0.0,0.03505418522704607,5.4019014693172e-05,0.000108038029386344,5.4019014693172e-05,0.028197925669835783,Medium,la Bordeta,False
17,5.833333333333333,36515.0,15526.125,62.0,65.1,23906,951.3,0.0,0.0,0.0007111185476449427,0.002007864134526897,0.04995386154041674,4.183050280264369e-05,0.0,0.026860411612147576,8.366100560528738e-05,0.0,4.183050280264369e-05,0.004224880783067013,Medium,Sants - Badal,False
18,6.275,39562.96551724138,17226.03448275862,72.3,74.1,40785,734.1,2.45188181929631e-05,0.0,0.0008336398185607454,0.003702341547137428,0.04995386154041674,9.80752727718524e-05,2.45188181929631e-05,0.014790765705782638,0.000245188181929631,4.90376363859262e-05,7.35564545788893e-05,0.013411793551550815,Medium,Sants,False
19,6.7250000000000005,52316.6,22217.28571428572,61.0,54.8,45932,703.7,4.3542628233040145e-05,4.3542628233040145e-05,0.0008273099364277627,0.005595227727945659,0.04676514539085275,0.0002394844552817208,6.531394234956022e-05,0.017104166407484356,0.00010885657058260036,2.1771314116520073e-05,2.1771314116520073e-05,0.029434816685535138,High,les Corts,False
20,6.616666666666667,48459.4,20068.6,59.3,57.3,23848,730.5,8.386447500838645e-05,0.0,0.0008386447500838644,0.00817678631331768,0.04676514539085275,0.0002515934250251593,0.00012579671251257966,0.03694509672369451,0.0001677289500167729,4.1932237504193224e-05,4.1932237504193224e-05,0.04507715531700771,High,la Maternitat i Sant Ramon,False
21,3.4166666666666665,75383.71428571429,28319.42857142857,58.6,54.7,11862,144.1,0.0,0.0,0.0007587253414264037,0.012139605462822459,0.046765145390852754,0.0001686056314280897,0.0,0.1159404581255871,0.0003372112628561794,0.0,0.0,0.11583206879109763,Very High,Pedralbes,False
22,3.45,61825.333333333336,21658.0,66.9,41.7,4632,51.8,0.0004317789291882556,0.0,0.0002158894645941278,0.010146804835924008,0.04173253347384919,0.0002158894645941278,0.0,0.23891767415083479,0.0002158894645941278,0.0,0.0004317789291882556,0.03173575129533679,Very High,Vallvidrera el Tibidabo I les Planes,False
23,3.5666666666666664,70651.625,26446.8125,67.5,62.2,24799,258.2,8.064841324246945e-05,4.0324206621234725e-05,0.0005645388926972862,0.006492197266018791,0.04173253347384919,0.0001612968264849389,0.00020162103310617365,0.041662466228476955,0.0001612968264849389,0.0,4.0324206621234725e-05,0.017500705673615873,Very High,Sarrià,False
24,4.25,82453.72727272728,30270.272727272728,58.0,54.1,16473,386.9,0.0,0.0,0.0008498755539367449,0.007223942208462332,0.04173253347384919,0.00018211619012930248,0.00036423238025860496,0.07012025187220962,0.00048564317367813997,0.0,0.0,0.021671826625386997,Very High,les Tres Torres,False
25,4.05,68573.77777777778,26432.33333333333,66.3,67.1,25665,312.7,7.792713812585232e-05,3.896356906292616e-05,0.0008961620884473018,0.007792713812585233,0.04173253347384918,0.00027274498344048313,0.000233781414377557,0.03966924259151027,0.0003896356906292616,0.0,0.0,0.013909994155464641,Very High,Sant Gervasi - la Bonanova,False
26,3.9583333333333335,68533.32258064517,27285.451612903227,63.3,65.3,47089,492.7,2.123638216993353e-05,2.123638216993353e-05,0.0008919280511372082,0.0068381150587185965,0.04173253347384919,0.00031854573254900295,0.0001486546751895347,0.02507742716434699,0.00016989105735946825,0.00019112743952940178,4.247276433986706e-05,0.008324661810613945,Very High,Sant Gervasi - Galvany,False
27,5.441666666666666,53228.57894736842,22579.263157894737,76.6,75.4,29368,551.9,3.4050667393080905e-05,0.0,0.0006129120130754563,0.002485698719694906,0.041732533473849184,0.00020430400435848543,6.810133478616181e-05,0.031118725716497726,0.0,3.4050667393080905e-05,0.0,0.01201988558975756,High,el Putxet i el Farró,False
28,6.633333333333333,48490.81818181818,20328.454545454544,76.6,71.6,15591,332.6,0.0,0.00012827913539862742,0.0007696748123917645,0.00673465460842794,0.04740816090242975,6.413956769931371e-05,0.00025655827079725484,0.053533215549763556,0.00012827913539862742,0.0,6.413956769931371e-05,0.04810467577448528,High,Vallcarca i els Penitents,False
29,5.608333333333333,37584.6,16016.8,79.7,81.2,7391,595.9,0.00013529968881071573,0.0,0.0005411987552428629,0.0021647950209714517,0.04740816090242975,0.00013529968881071573,0.0,0.10353132187795969,0.0,0.0,0.0,0.012447571370585848,Medium,el Coll,False
30,6.958333333333333,46108.2,19761.2,66.5,61.7,13118,683.6,0.0,0.0,0.0007623113279463333,0.005869797225186766,0.047408160902429754,7.623113279463333e-05,0.00022869339838389998,0.05432230522945571,7.623113279463333e-05,0.00015246226558926666,0.00022869339838389998,0.0171520048787925,High,la Salut,False
31,6.308333333333334,40219.66666666666,18539.666666666668,80.2,89.3,50584,606.1,0.0,0.0,0.0009093784595919658,0.003242131899414835,0.04740816090242975,7.907638779060572e-05,3.953819389530286e-05,0.012251897833306975,0.00033607464811007435,0.00023722916337181717,1.976909694765143e-05,0.0037363593231061207,Medium,la Vila de Gràcia,False
32,6.275,44015.8,19472.76,71.1,72.1,34234,888.5,2.92107261786528e-05,0.0,0.0006718467021090144,0.0032716013320091136,0.04740816090242975,5.84214523573056e-05,2.92107261786528e-05,0.019678682012034817,2.92107261786528e-05,8.76321785359584e-05,2.92107261786528e-05,0.0009639539638955424,Medium,el Camp d'en Grassot i Gràcia Nova,False
33,6.675,39564.36842105263,17091.473684210527,76.1,68.6,25547,1076.6,0.0,3.914353935882883e-05,0.0005088660116647747,0.004814655341135945,0.04715187603127914,0.0001565741574353153,0.0,0.024242211980807303,3.914353935882883e-05,0.0,3.914353935882883e-05,0.012056210122519279,Medium,el Baix Guinardó,False
34,6.791666666666667,37370.142857142855,15959.57142857143,73.1,63.0,8965,625.1,0.0,0.0,0.0006692693809258227,0.002342442833240379,0.047151876031279155,0.0,0.0,0.0789897219345072,0.0,0.0,0.0,0.05008365867261573,Medium,Can Baró,False
35,7.216666666666666,38260.56,16549.6,75.2,69.6,36136,693.0,2.767323444764224e-05,0.0,0.000691830861191056,0.002518264334735444,0.04715187603127914,2.767323444764224e-05,5.534646889528448e-05,0.01956386982510516,0.0,0.0,2.767323444764224e-05,0.010681868496789905,Medium,el Guinardó,False
36,9.241666666666667,47993.0,19609.14285714286,57.2,42.0,9400,238.1,0.0,0.0,0.0006382978723404255,0.0035106382978723405,0.04715187603127915,0.0,0.0,0.09088145896656535,0.00010638297872340425,0.0,0.0,0.008085106382978723,High,la Font d'en Fargues,False
37,8.708333333333334,29554.954545454544,12389.09090909091,68.2,70.4,31355,795.1,3.189284005740711e-05,0.0,0.0006378568011481422,0.0026789985648221974,0.04715187603127915,0.0,0.0,0.021705977008161667,0.0,0.0,6.378568011481423e-05,0.016201562749162814,Low,el Carmel,False
38,7.25,32256.875,13486.75,69.9,67.6,11277,598.6,8.867606632969761e-05,0.0,0.0007094085306375809,0.0017735213265939523,0.04715187603127914,0.0,0.0,0.06598607785758624,0.0,0.0,0.0,0.03298749667464751,Low,la Teixonera,False
