"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Moviment","Taxa_mil_hab"
"2021","8","Nou Barris",50,"les Roquetes","Alta","72.2"
"2021","8","Nou Barris",50,"les Roquetes","Baixa","80.3"
"2021","8","Nou Barris",51,"Verdun","Alta","65.7"
"2021","8","Nou Barris",51,"Verdun","Baixa","73.4"
"2021","8","Nou Barris",52,"la Prosperitat","Alta","65.3"
"2021","8","Nou Barris",52,"la Prosperitat","Baixa","65.6"
"2021","8","Nou Barris",53,"la Trinitat Nova","Alta","70.3"
"2021","8","Nou Barris",53,"la Trinitat Nova","Baixa","74.7"
"2021","8","Nou Barris",54,"Torre Baró","Alta","36.3"
"2021","8","Nou Barris",54,"Torre Baró","Baixa","37.4"
"2021","8","Nou Barris",55,"Ciutat Meridiana","Alta","60.3"
"2021","8","Nou Barris",55,"Ciutat Meridiana","Baixa","65.8"
"2021","8","Nou Barris",56,"Vallbona","Alta","52.0"
"2021","8","Nou Barris",56,"Vallbona","Baixa","36.8"
"2021","9","Sant Andreu",57,"la Trinitat Vella","Alta","69.8"
"2021","9","Sant Andreu",57,"la Trinitat Vella","Baixa","70.2"
"2021","9","Sant Andreu",58,"Baró de Viver","Alta","35.9"
"2021","9","Sant Andreu",58,"Baró de Viver","Baixa","31.0"
"2021","9","Sant Andreu",59,"el Bon Pastor","Alta","58.9"
"2021","9","Sant Andreu",59,"el Bon Pastor","Baixa","62.1"
"2021","9","Sant Andreu",60,"Sant Andreu","Alta","54.1"
"2021","9","Sant Andreu",60,"Sant Andreu","Baixa","51.1"
"2021","9","Sant Andreu",61,"la Sagrera","Alta","65.0"
"2021","9","Sant Andreu",61,"la Sagrera","Baixa","59.3"
"2021","9","Sant Andreu",62,"el Congrés i els Indians","Alta","69.9"
"2021","9","Sant Andreu",62,"el Congrés i els Indians","Baixa","62.8"
"2021","9","Sant Andreu",63,"Navas","Alta","63.8"
"2021","9","Sant Andreu",63,"Navas","Baixa","60.3"
"2021","10","Sant Martí",64,"el Camp de l'Arpa del Clot","Alta","71.6"
"2021","10","Sant Martí",64,"el Camp de l'Arpa del Clot","Baixa","71.8"
"2021","10","Sant Martí",65,"el Clot","Alta","61.8"
"2021","10","Sant Martí",65,"el Clot","Baixa","56.5"
"2021","10","Sant Martí",66,"el Parc i la Llacuna del Poblenou","Alta","69.9"
"2021","10","Sant Martí",66,"el Parc i la Llacuna del Poblenou","Baixa","67.1"
"2021","10","Sant Martí",67,"la Vila Olímpica del Poblenou","Alta","61.1"
"2021","10","Sant Martí",67,"la Vila Olímpica del Poblenou","Baixa","53.7"
"2021","10","Sant Martí",68,"el Poblenou","Alta","69.7"
"2021","10","Sant Martí",68,"el Poblenou","Baixa","66.9"
"2021","10","Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Alta","59.2"
"2021","10","Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Baixa","52.1"
"2021","10","Sant Martí",70,"el Besòs i el Maresme","Alta","79.2"
"2021","10","Sant Martí",70,"el Besòs i el Maresme","Baixa","76.3"
"2021","10","Sant Martí",71,"Provençals del Poblenou","Alta","58.1"
"2021","10","Sant Martí",71,"Provençals del Poblenou","Baixa","51.6"
"2021","10","Sant Martí",72,"Sant Martí de Provençals","Alta","54.0"
"2021","10","Sant Martí",72,"Sant Martí de Provençals","Baixa","48.7"
"2021","10","Sant Martí",73,"la Verneda i la Pau","Alta","51.7"
"2021","10","Sant Martí",73,"la Verneda i la Pau","Baixa","43.7"
