"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2021,7,7,"Horta-Guinardó",41,"la Vall d'Hebron",3584,"7.3"
2021,7,7,"Horta-Guinardó",42,"la Clota",497,"3.7"
2021,7,7,"Horta-Guinardó",43,"Horta",17761,"8.4"
2021,7,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16331,"8.4"
2021,7,8,"Nou Barris",45,"Porta",18175,"7.4"
2021,7,8,"Nou Barris",46,"el Turó de la Peira",10640,"8.0"
2021,7,8,"Nou Barris",47,"Can Peguera",1409,"8.4"
2021,7,8,"Nou Barris",48,"la Guineueta",9053,"10.5"
2021,7,8,"Nou Barris",49,"Canyelles",4001,"11.6"
2021,7,8,"Nou Barris",50,"les Roquetes",11034,"9.1"
2021,7,8,"Nou Barris",51,"Verdun",8387,"9.2"
2021,7,8,"Nou Barris",52,"la Prosperitat",16804,"8.9"
2021,7,8,"Nou Barris",53,"la Trinitat Nova",5187,"13.1"
2021,7,8,"Nou Barris",54,"Torre Baró",1994,"9.4"
2021,7,8,"Nou Barris",55,"Ciutat Meridiana",7292,"13.4"
2021,7,8,"Nou Barris",56,"Vallbona",909,"12.5"
2021,7,9,"Sant Andreu",57,"la Trinitat Vella",7075,"12.8"
2021,7,9,"Sant Andreu",58,"Baró de Viver",1781,"6.8"
2021,7,9,"Sant Andreu",59,"el Bon Pastor",9218,"7.5"
2021,7,9,"Sant Andreu",60,"Sant Andreu",36970,"7.6"
2021,7,9,"Sant Andreu",61,"la Sagrera",18532,"7.1"
2021,7,9,"Sant Andreu",62,"el Congrés i els Indians",9586,"6.7"
2021,7,9,"Sant Andreu",63,"Navas",14318,"6.9"
2021,7,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25554,"7.5"
2021,7,10,"Sant Martí",65,"el Clot",17821,"7.5"
2021,7,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10651,"6.2"
2021,7,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6510,"6.6"
2021,7,10,"Sant Martí",68,"el Poblenou",23431,"6.3"
2021,7,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8855,"8.0"
2021,7,10,"Sant Martí",70,"el Besòs i el Maresme",17974,"9.0"
2021,7,10,"Sant Martí",71,"Provençals del Poblenou",14227,"7.3"
2021,7,10,"Sant Martí",72,"Sant Martí de Provençals",16375,"8.6"
2021,7,10,"Sant Martí",73,"la Verneda i la Pau",17667,"9.0"
2021,8,1,"Ciutat Vella",1,"el Raval",36762,"9.4"
2021,8,1,"Ciutat Vella",2,"el Barri Gòtic",19040,"4.8"
2021,8,1,"Ciutat Vella",3,"la Barceloneta",11430,"8.4"
2021,8,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17782,"7.4"
2021,8,2,"Eixample",5,"el Fort Pienc",22723,"5.3"
2021,8,2,"Eixample",6,"la Sagrada Família",35048,"5.6"
2021,8,2,"Eixample",7,"la Dreta de l'Eixample",29680,"4.5"
2021,8,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",29603,"4.8"
2021,8,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38135,"5.4"
2021,8,2,"Eixample",10,"Sant Antoni",26119,"5.9"
2021,8,3,"Sants-Montjuïc",11,"el Poble Sec",28970,"7.3"
2021,8,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",939,"11.9"
2021,8,3,"Sants-Montjuïc",13,"la Marina de Port",20593,"8.7"
2021,8,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6792,"7.9"
2021,8,3,"Sants-Montjuïc",15,"Hostafrancs",11123,"6.3"
2021,8,3,"Sants-Montjuïc",16,"la Bordeta",12663,"6.5"
2021,8,3,"Sants-Montjuïc",17,"Sants - Badal",16520,"5.2"
2021,8,3,"Sants-Montjuïc",18,"Sants",29724,"5.6"
2021,8,4,"Les Corts",19,"les Corts",27804,"6.0"
2021,8,4,"Les Corts",20,"la Maternitat i Sant Ramon",14388,"5.9"
2021,8,4,"Les Corts",21,"Pedralbes",6940,"3.2"
